"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Korea, North",0.8981,0.001,3.3933,0.001,17.9378,0.4668,1.1568,6.1383,1.3872,0.3146,0.069,0.066,0.209,1.1,0,6.2438,0.0142,0.3694,0,0.0426,0.7783,12.8082,46.6046,7.1,"47.8",NA,NA,NA,NA,25666000,"%"
"Korea, South",4.8669,0.2553,11.8174,1.6794,11.7286,0.6414,3.4396,3.6993,4.4239,1.1394,0,0.2378,0.5632,0.072,0.0288,0.9799,0.0945,2.4835,6e-04,0.1664,1.1663,12.3349,38.181,4.9,"<2.5",0.0207634147282336,0.000476410909231185,0.0174729005130579,0.00281410330594453,51846000,"%"
"Kuwait",0.0044,0.0022,10.7213,0.0022,11.4132,1.3306,0.8343,5.3058,4.877,3.4788,0.8554,0.1969,0.2783,0.4353,0.202,3.2296,0.2696,2.9163,0.0276,0.1512,1.1976,12.9953,39.275,37,"2.8",0.0888994532921322,0.000570477775136677,0.0330164012360352,0.0553125742809603,4207000,"%"
"Kyrgyzstan",0.6313,0.191,15.4588,0,10.1059,0.2653,0.07,2.2846,1.8707,12.8008,0.2076,0.2604,0.0098,0.3439,0.0197,5.8068,0.0608,3.2495,0,0.1449,0.355,11.3219,34.5412,15.4,"7.1",0.011290072789221,0.00012389654638377,0.00676784884621341,0.00439832739662382,6457000,"%"
"Lao People's Democratic Republic",0.7883,0.0979,3.6579,6e-04,16.3943,0.1063,1.4213,8.8158,1.7111,0.1632,0.3404,0.1581,0.3584,0.1485,0.1317,3.4835,0.9869,1.1101,1.9254,0.0028,0.2149,11.641,46.3416,4.5,"16.5",0.000266292922214436,0,9.81079187105817e-05,0.000168185003503854,7135000,"%"
"Latvia",5.4573,1.1805,18.8216,5e-04,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,0.2596,0.1686,0.1107,0.0032,0.0122,6.5835,0.1963,2.6169,0,0.0793,0.699,6.1946,31.1757,25.7,"<2.5",0.0443805541035023,0.000784108729743858,0.0181913225300575,0.025405122843701,1913000,"%"
"Lebanon",0.7164,0.0796,8.0679,0,11.8253,0.173,0.7091,6.9852,1.9469,5.0748,0.0747,0.0853,0.5052,0.5011,0.0406,3.2676,0.3647,5.1366,0,0.5271,1.4807,10.5128,41.9252,31.3,"11",0.0105163360560093,0.000350058343057176,0.00218786464410735,0.00797841306884481,6856000,"%"
"Lesotho",3.4135,0.0233,6.0914,0,23.4645,0.1204,0.2383,1.8065,2.529,2.7893,0.3898,0.3924,0.0725,1.1603,0.1165,7.1935,0.0363,2.2079,0,0.0052,0.6786,3.3721,43.8988,13.5,"13.1",NA,NA,NA,NA,2125000,"%"
"Liberia",1.0338,0.0264,3.7603,0,16.1465,0.1598,0.7764,5.3606,2.4123,0.1545,0.2997,0.2311,0.4159,0.0977,0.0013,15.3608,0.0132,1.1236,1.1804,0.0779,1.9567,3.1728,46.2383,8.6,"37.2",0.00285598541624468,0.000324083451488758,0.000911484707312133,0.00162041725744379,4937000,"%"
"Lithuania",5.5419,0.5316,23.049,9e-04,6.4732,0.7,1.5431,2.4007,3.7899,16.3529,0.0126,0.1301,0.0867,0.4388,0.0546,2.2766,0.2164,4.502,0,0.055,0.4924,4.4045,26.9471,28.4,"<2.5",0.0493362038033728,0.00161463939720129,0.0202009329027628,0.0275206315034087,2787000,"%"
"Luxembourg",8.0858,0.5443,14.6038,0.0051,5.1366,0.7875,1.6249,4.4841,4.0469,7.4929,0.3877,0.1036,0.1658,0.0399,0.0586,2.2067,1.2823,8.1121,0,0.0308,0.563,4.8536,35.3838,24.2,"<2.5",0.607903225806452,0.0143548387096774,0.505483870967742,0.0880645161290323,620000,"%"
"Madagascar",0.7972,0.0415,4.9125,0.0024,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,0.0782,0.2002,0.1848,0.3708,0.0486,14.4675,0.2085,1.0922,0.5852,0.0261,0.3115,1.8871,45.0869,4.5,"44.4",0.000474619007008046,0,0.000333716489302533,0.000140902517705514,26969000,"%"
"Malawi",1.1827,0.0814,2.7754,0,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.0396,0.1695,0.5436,1.1841,0.0139,20.2901,0.0389,0.6412,0,0.0161,0.204,3.9786,47.2242,4.7,"17.5",0.000193247087873745,1.61039239894788e-05,3.75758226421171e-05,0.000139567341242149,18629000,"%"
"Malaysia",0.8948,0.0882,12.6354,0.0204,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,0.1541,0.0789,0.5801,0.2617,0.4502,1.6568,0.1012,3.903,0,0.0835,1.6336,6.1678,37.3632,15.3,"2.5",0.0181510090678716,0.000305315543614325,0.0124782462675175,0.00536744725673984,32753000,"%"
"Maldives",0.6859,0.0029,14.2704,0.0068,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,3.0315,0.0019,0.2082,0.0808,0.3434,1.6403,0.396,2.979,0.1002,0.7569,0.1819,7.718,35.7208,7.9,"10.3",0.0519626168224299,0.000186915887850467,0.00317757009345794,0.0485981308411215,535000,"%"
"Mali",2.8904,0.0444,10.1637,0,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0,0.2374,0.5144,7.2943,39.8262,7.1,"6.3",0.0024519279682572,0.00012717468715027,0.000656221385695391,0.00166853189541154,19658000,"%"
"Malta",3.9051,0.2062,13.6092,0.0017,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0,0.1236,0.486,11.2856,36.3899,31,"<2.5",0.0926,8e-04,0.0678,0.024,5e+05,"%"
"Mauritania",0.0055,0.1127,15.0193,0,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,0.7519,0.4279,0.0799,1.0999,0.0066,1.0168,0.3677,4.3166,0,0,1.5716,3.9784,34.9779,11.3,"10.4",0.000176756517896597,2.20945647370747e-05,0.000132567388422448,2.20945647370747e-05,4526000,"%"
"Mauritius",3.0805,0.0074,9.27,0.0102,17.1855,0.591,2.1303,3.568,4.6992,1.7166,1.0545,0.1173,0.4479,0.856,0.1847,1.8348,0.1625,3.568,0,0.0369,2.049,6.7122,40.7175,11.5,"6.5",0.0262243285939968,0.000789889415481833,0.0241706161137441,0.00126382306477093,1266000,"%"
"Mexico",4.4105,0.1672,15.1527,0.0201,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,0.0275,0.3552,0.1947,0.7071,0.1121,1.1644,0.0248,3.2266,0,0.1121,0.6856,5.0713,34.8456,28.4,"3.6",0.0140617963769089,0.00136833705965539,0.00902454632358169,0.00366891299367184,126577000,"%"
"Mongolia",3.143,0.3846,25.8904,0,10.1415,0.3727,0.044,1.0413,8.0929,15.856,0.5962,1.1411,0.0266,0.0366,0.0037,2.6155,0.1401,1.468,0,0.0137,0.555,4.3326,24.1046,19.6,"13.4",0.00116243499541144,0,0.000305903946160905,0.000856531049250535,3269000,"%"
"Montenegro",2.2188,0.2067,22.8328,0.0014,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,0.847,0.1132,0.0865,0.2113,0.0175,1.1955,0.2605,6.0418,0,0.0948,0.4258,5.0001,27.1612,24.9,"<2.5",0.0517684887459807,0.00112540192926045,0.032636655948553,0.0180064308681672,622000,"%"
"Morocco",0.287,0.1449,8.4754,0,18.7029,0.4848,1.3901,7.211,2.5074,3.754,0.0079,0.1949,0.1892,0.3306,0.1185,3.4356,0.2042,2.6816,0,0.2549,0.8168,7.286,41.5224,25.6,"3.4",0.0121420743529941,0.000472082502037261,0.00260769382077725,0.00906229803017956,35587000,"%"
"Mozambique",1.2195,0.0297,4.0111,0,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,0.1565,0.0852,0.1258,1.2809,0.004,22.2864,0.105,1.0649,0,0.2011,0.7509,2.7738,45.9864,6,"27.9",0.000250279918329711,0,3.95178818415333e-05,0.000210762036488178,30366000,"%"
"Myanmar",0.2195,0.1751,13.5188,0.0034,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,0.3391,0.2298,1.1003,1.2806,0.217,1.4514,0.2298,2.8592,0,0.2913,0.6322,7.0725,36.4807,5.7,"10.6",NA,NA,NA,NA,54045000,"%"
"Namibia",5.4716,0.1134,9.6094,0.0053,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,0.7228,0.2207,0.0818,0.7298,0.1266,12.8231,0.0888,3.9848,9e-04,0.0114,0.9531,2.3626,40.38,15,"27.3",0.00064128256513026,0,0.00032064128256513,0.00032064128256513,2495000,"%"
"Nepal",0.3318,0.0312,5.4355,0,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.0594,0.1536,0.0594,0.9107,0.4195,6.0521,0.0319,0.547,3.0677,0.0978,0.8209,9.277,44.5576,3.8,"8.7",0.000199238002027334,0,5.59264567094271e-05,0.000143311545317907,28609000,"%"
"Netherlands",4.3903,0.3343,24.2977,0.0111,4.9685,0.747,1.1517,4.923,4.0105,18.0051,0,0.0397,0.1111,0.0852,0.064,4.2639,0.2904,2.3446,0,0.1587,0.8485,3.2587,25.6959,23.1,"<2.5",0.224966830112489,0.0272685318719354,0.000686472454571676,0.197011825785982,17335000,"%"
"New Caledonia",5.0363,0.0821,11.7818,0.0804,8.584,0.7494,2.0361,5.5855,5.8687,2.7675,3.6589,0.1993,2.2961,0.1275,0.0488,2.5648,0.1745,3.1901,0,0.0376,1.3157,5.5941,38.2208,NA,"7.1",NA,NA,NA,NA,291000,"%"
"New Zealand",5.222,0.7446,17.5777,0.017,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,0,0.1275,0.3296,0.2414,0.0495,3.3719,0.2374,3.8188,0.0109,0.1499,0.5364,6.6889,32.4155,32,"<2.5",0.0296802734767746,0.00038206314096119,0.0249547556806756,0.00434345465513774,4973000,"%"
"Nicaragua",1.7194,0.0836,13.1538,0.003,16.8052,0.549,0.6557,3.8377,3.1044,8.5527,0.6658,0.2055,0.3354,1.3618,0.006,1.9118,0.005,5.7021,0,0.003,0.9227,3.5808,36.8356,21.8,"17",0.000198594561564314,4.58295142071494e-05,0.000106935533150015,4.58295142071494e-05,6546000,"%"
"Niger",0.0558,0.1185,7.2385,0,22.2843,0.0239,0.2022,2.5503,1.2702,5.4224,0.0687,0.2022,1.4804,3.4838,0.0807,1.3489,0.0349,0.3666,0,0,0.3975,10.6117,42.7585,4.7,"16.5",0.00305864184290678,0.000137274248209,0.00186607181159109,0.00105529578310669,23311000,"%"
"Nigeria",4.0037,0.0151,1.7391,0,10.922,0.1976,0.7239,4.4268,0.5675,0.173,0.0437,0.0627,0.4763,0.8311,0.1715,19.5271,0.0064,0.6501,0,0.0841,0.8573,6.2627,48.2585,7.8,"13.4",0.000859855496506837,2.53776795844032e-05,0.000152763679066898,0.000681714137855536,200964000,"%"
"North Macedonia",1.9045,0.3784,12.0639,0,7.3937,0.2847,0.3507,5.0893,2.0683,8.8045,0.2959,0.1773,0.3253,0.2847,0.1288,3.6779,0.2474,2.9104,0,0.1796,0.9505,14.5512,37.933,23.9,"3.2",0.0693936477382098,0.00351299326275265,0.0301732435033686,0.0357074109720886,2078000,"%"
"Norway",3.7939,0.6119,21.1992,5e-04,5.9777,0.6194,2.7466,4.2801,3.6083,13.5227,3.6634,0.0893,0.3113,0.3204,0.0235,2.8097,0.4819,2.2652,0,0.099,0.8697,3.9131,28.7933,25,"<2.5",0.144246959775491,0.00387277829747428,0.000598690364826941,0.13977549111319,5345000,"%"
"Oman",0.2621,0.0571,13.5101,0,9.6835,0.5741,2.0105,9.787,3.0531,7.6265,0.0423,0.1888,0.1338,0.2776,0.2297,1.6984,0.1395,2.5903,0.0077,0.0521,0.6995,10.8902,36.486,22.9,"6.8",0.0484345047923323,0.000212992545260916,0.00775292864749734,0.040468583599574,4695000,"%"
"Pakistan",0.0085,0.0969,22.2758,0.0011,14.6224,0.3577,0.1831,2.4099,1.7957,19.6466,0.0117,0.1969,0.3577,0.6993,0.1618,1.8202,0.5258,2.6707,1.7915,0.0852,0.3417,2.2173,27.7226,7.8,"20.3",0.00716874841271674,0.000158382010020086,0.00158151132454459,0.00542885507815206,216565000,"%"
"Panama",6.6254,0.2467,12.3346,0.0031,14.2627,0.4604,1.005,6.6783,4.98,5.353,0.7431,0.2873,0.4589,0.4129,0.0153,1.3758,0.1195,4.2277,0,0.036,0.7645,1.948,37.6619,22.5,"10",0.151173263806589,0.00421900924389666,0.0124911116378289,0.134463142924864,4219000,"%"
"Paraguay",3.9095,0.2191,11.2654,0,7.5639,0.9035,0.3119,5.4532,4.0434,5.3208,0.1788,0.4675,0.2745,0.6185,0.0082,12.5302,1.0112,2.4084,0,0.0015,1.0733,3.7113,38.726,19,"10.7",0.00333985466741196,0.000125768585802124,0.00142537730575741,0.00178870877585243,7156000,"%"
"Peru",3.8623,0.0316,8.6638,0.0014,11.814,0.6431,1.7993,8.5783,1.754,4.0729,0.0719,0.3629,0.2458,0.6367,0.0172,8.7924,0.2501,1.7339,0,0.023,0.5066,4.8044,41.3344,19.1,"9.7",0.106765048299298,0.00296718164941317,0.0315817626883987,0.0722161039614864,31781000,"%"
"Philippines",1.9716,0.3074,6.7108,0,20.0498,0.3527,2.4506,8.5466,3.2257,0.1045,0.1925,0.2717,0.5425,0.1106,0.034,2.8773,0.5399,2.3774,0,0.1838,0.4119,5.4481,43.2905,6,"13.3",0.00759547527215886,0.000516107550154,0.000946197175282333,0.00613317054672253,108117000,"%"
"Poland",6.8201,0.9842,16.559,0,7.9033,0.3702,0.5845,3.0079,4.85,9.7542,0,0.017,0.0798,0.1099,0.0202,5.5631,0.1509,2.4775,0,0.0476,0.3959,6.8655,33.439,25.6,"<2.5",0.0329166666666667,0.001625,0.00787760416666667,0.0234140625,38400000,"%"
"Portugal",4.7147,0.4077,18.6614,5e-04,6.2984,0.4053,2.7295,6.5126,4.5168,10.3936,0.1393,0.2079,0.0965,0.1618,0.0173,3.106,0.2684,1.7316,0,0.2319,0.7246,7.3366,31.3374,23.2,"<2.5",0.238630830655371,0.00947511929107021,0.0143149284253579,0.214840782938942,10269000,"%"
"Republic of Moldova",3.8296,0.4339,16.5343,0,11.6462,0.6795,0.991,3.4256,3.2622,10.9992,0.5083,0.1694,0.0616,0.0642,0.0068,3.9066,0.083,2.6632,0,0.018,0.825,6.4285,33.464,20.1,NA,0.106435224386113,0.00313293818797629,0.0314422805532035,0.0718600056449337,3543000,"%"
"Romania",4.7679,0.3474,15.9287,0,8.0412,0.6848,0.2844,4.2115,3.0499,11.4018,0.2567,0.1594,0.0974,0.1045,0.1274,4.713,0.1398,1.4126,0,0.1093,0.7301,9.3641,34.0679,24.5,"<2.5",0.0618666391198802,0.00357936057021848,0.0184339651877486,0.0398533133619131,19361000,"%"
"Russian Federation",3.7425,0.2486,16.1525,0.0023,8.2803,0.9029,1.1312,3.162,4.318,9.3253,0.0118,0.2249,0.1319,0.1426,0.0118,6.3194,0.1809,4.6144,0,0.0118,0.8663,6.3713,33.8472,25.7,"<2.5",0.0677423312047216,0.000662436703900335,0.00701010693036918,0.060069787570452,146731000,"%"
"Rwanda",1.3631,0.0186,2.6366,0,3.538,0.0269,0.5279,15.7285,0.6257,1.3521,0.0283,0.0855,0.2233,2.5036,0.0179,20.4415,0.011,0.5782,0,0,0.2109,2.7193,47.3634,4.8,"36.8",0.00178189593727726,0,0.000776114674902986,0.00100578126237428,12627000,"%"
"Saint Kitts and Nevis",4.0867,0.1735,14.0252,0,6.3135,0.3868,3.4174,7.5449,7.8207,1.895,1.5442,0.3318,0.947,0.5422,0.0901,2.715,0.0749,6.4623,0,0.0673,1.385,4.209,35.9677,23.1,NA,0.0283018867924528,0,0.00754716981132075,0.0207547169811321,53000,"%"
"Saint Lucia",7.8024,0.0252,14.8893,9e-04,7.2091,0.3326,3.0652,5.9453,8.17,2.8881,1.6054,0.4063,0.6274,0.5663,0.178,2.6427,0.0602,3.7043,0,0.0575,0.6103,4.1169,35.0964,19.8,NA,0.00944444444444444,0,0.00833333333333333,0.00111111111111111,180000,"%"
"Saint Vincent and the Grenadines",2.526,0.022,11.0865,0,9.0142,0.3412,1.3785,10.471,6.9184,2.2593,1.9325,0.1672,0.1049,0.6452,0.2113,4.3734,0.2933,3.4592,0,0.0357,0.7227,5.1371,38.9005,23.8,"5.7",0.0144144144144144,0,0.00720720720720721,0.00720720720720721,111000,"%"
"Samoa",1.4236,0.2262,11.163,0.1236,3.6768,0.1314,2.7788,10.7845,5.7993,1.9647,0.7751,0.1398,10.5187,0,0.0582,7.6944,0.1344,2.0811,0.0036,0.0108,0.5117,1.1656,38.8349,45.5,"2.7",NA,NA,NA,NA,199000,"%"
"Sao Tome and Principe",1.5187,0.022,4.1199,0,7.3796,0.0562,2.3033,18.2736,1.2054,0.5152,0.424,0.0187,9.9865,0.3109,0.0293,3.7154,0.0073,2.5939,0,0.0024,0.7805,0.857,45.8801,10.6,"7",0.00388349514563107,0,0.00194174757281553,0.00194174757281553,206000,"%"
"Saudi Arabia",0,0.3917,12.9962,0,16.3284,0.6003,1.0369,7.0413,4.9529,5.8598,0.669,0.1547,0.1492,0.4768,0.2434,1.4542,0.205,2.8571,9e-04,0.1135,1.7626,5.7024,37.0038,35,"7.1",0.062546028406102,0.00045882284177918,0.00862996083932433,0.0534572447249985,34218000,"%"
"Senegal",0.3209,0.0353,5.3434,0,25.9204,0.1878,2.0588,2.3456,1.6081,1.2496,0.0148,0.206,0.7637,0.4712,0.0717,2.6177,0.1161,2.0941,0,0.1047,1.9325,7.8951,44.6423,7.4,"11.3",0.00541237113402062,5.52282768777614e-05,0.00193298969072165,0.00342415316642121,16296000,"%"
"Serbia",4.392,0.2524,16.7466,0,9.7485,0.6322,0.4148,5.9753,3.5893,11.619,0.0067,0.2389,0.1322,0.1805,0.0242,2.545,0.243,2.0255,7e-04,0.1268,0.4644,7.3941,33.2476,23.5,"5.7",0.0954643628509719,0.00179985601151908,0.0125269978401728,0.0811375089992801,6945000,"%"
"Sierra Leone",0.3009,0.0067,5.6877,0,19.9349,0.1343,2.5044,3.2119,0.7837,2.1711,0.2504,0.0857,0.5999,0.8913,0.0638,12.4228,0.0762,0.6323,0,0.1,1.276,4.5526,44.3138,7.5,"25.6",0.00133111480865225,5.11967234097018e-05,0.000153590170229105,0.00112632791501344,7813000,"%"
"Slovakia",6.1266,1.3559,18.9841,0,5.4026,0.939,0.7045,3.5463,4.3096,11.4696,0.029,0.2055,0.2055,0.0973,0.0421,3.6814,0.2513,5.5166,0,0.1118,1.438,4.5601,31.0231,22.4,"3.4",0.0255042170883755,0.000403373670700403,0.00887422075540887,0.0162266226622662,5454000,"%"
"Slovenia",4.9933,1.1248,18.9196,5e-04,7.6345,0.5376,0.6515,6.4367,4.161,12.2569,0.6133,0.1879,0.1285,0.1106,0.0561,2.6837,0.2615,2.4915,0,0.1972,0.4739,5.002,31.0774,22.5,"<2.5",0.067911877394636,0.00426245210727969,0.0110153256704981,0.0526340996168582,2088000,"%"
"Solomon Islands",0.8298,0.1038,3.8504,0.0121,9.0233,0.0826,2.284,3.2798,0.8897,0.438,0.5585,0.0394,5.0334,0.7366,0.0364,24.25,0.0856,0.8268,0,0.0356,0.3327,1.1223,46.1492,20.5,"8.9",NA,NA,NA,NA,699000,"%"
"South Africa",6.2658,0.0593,11.8433,9e-04,17.1035,0.594,0.5365,1.9355,5.3933,4.8155,9e-04,0.4448,0.2462,0.1546,0.0539,2.8503,0.1321,4.4677,0,0.0108,1.1726,3.7632,38.1554,27,"6.2",0.00912720076429644,0.000175719939948137,0.00353657704381056,0.00541490378053774,58616000,"%"
"Spain",5.3152,0.2357,18.3382,0.0011,6.0548,0.7321,2.2646,4.8332,5.3456,9.5991,0,0.1605,0.265,0.2666,0.0069,3.0975,0.2229,1.8482,0,0.4287,1.5122,7.8139,31.6581,27.1,"<2.5",0.503258768296051,0.051568839886984,0.282389055297092,0.169300873111975,47073000,"%"
"Sri Lanka",0.681,0.0147,5.5328,0.0039,20.7839,0.4178,3.0173,4.1171,0.8845,1.0948,0.0303,0.0998,7.1364,0.9608,0.5244,1.9793,0.2818,2.7209,0,0.135,0.2466,4.8753,44.4618,5.4,"9",0.0029637409809115,3.19663896246233e-05,0.000621061284135537,0.00231071330715134,21898000,"%"
"Sudan",0,0.0958,13.1178,0,12.9192,0.1176,0.1018,7.0919,2.1133,10.4116,0.0741,0.2796,0.492,1.0631,0.0405,1.9167,0.1502,3.1231,0.7262,0,0.9366,8.3477,36.8813,7.4,"20.1",0.000875902179244622,6.54006960502651e-05,7.47436526288744e-05,0.000735757830565482,42813000,"%"
"Suriname",4.1704,0.0438,6.7984,0,13.9476,0.5407,1.4348,8.6872,3.6451,1.0789,1.2414,0.0576,0.6757,0.1719,0.0224,2.4553,0.0903,4.7051,0.3207,0.0155,1.3351,5.3705,43.1917,26.5,"8.5",0.00166112956810631,0.000166112956810631,0.00132890365448505,0.000166112956810631,602000,"%"
"Sweden",4.4232,1.0442,24.0627,0,6.1923,0.7266,1.7659,3.5405,4.1476,16.3687,0.4623,0.0086,0.1712,0.0937,0.0484,2.8343,0.5533,2.5211,0,0.0996,0.3967,4.611,25.9282,22.1,"<2.5",0.197375072914641,0.0239354462376045,0.00977056192883531,0.163669064748201,10286000,"%"
"Switzerland",4.9978,0.4802,22.4227,0.0022,5.9818,0.5377,0.9109,4.6041,3.6314,16.706,0,0.1549,0.1124,0.0995,0.0382,2.1542,0.3727,2.9737,0,0.2377,1.0637,4.9478,27.5705,21.2,"<2.5",0.343058796080261,0.0200186654223052,0.263649090060663,0.0593910405972935,8572000,"%"
"Taiwan*",2.7663,0.1577,12.1312,0.0281,10.0808,1.09,2.3182,8.3904,6.0558,2.3299,0.1874,0.1507,1.0736,0.2077,0.1023,0.8565,0.1374,2.3455,0.2826,0.4185,1.8271,9.1938,37.8684,NA,"3.5",0.00181833594710295,2.54312719874539e-05,0.00131818759801636,0.00047471707709914,23593000,"%"
"Tajikistan",0.1423,0.0018,7.2363,0,13.3691,0.2255,0.0342,3.7863,1.5221,5.2373,0.2089,0.2144,0.1349,0.2486,0.0305,2.9278,0.0555,1.6607,0,0.0582,0.8419,19.2995,42.7642,12.6,NA,NA,NA,NA,NA,9221000,"%"
"Thailand",3.6223,0.0902,7.7828,0.0325,17.5571,1.1143,2.6297,8.3291,2.4675,1.3279,0.009,0.1199,1.2775,0.2344,0.6626,1.8887,0.1262,4.0424,0,0.0938,0.7816,3.5962,42.2145,10.8,"7.8",0.0044399915629614,8.13571579232832e-05,0.00401512640491759,0.000343508000120529,66374000,"%"
"Timor-Leste",0.4459,0.0897,5.4983,0,26.332,0.1025,1.0225,2.1027,4.0376,0.1307,0.8905,0.1153,0.5612,0.9098,0.05,5.5022,1.0136,2.8203,0,0.0013,0.6842,3.1867,44.503,2.9,"24.9",0.00185614849187935,0,0.000464037122969838,0.00139211136890951,1293000,"%"
"Togo",1.0144,0.0292,3.6702,0,15.8144,0.1067,1.3178,0.91,1.4133,0.7246,0.7448,0.0775,0.4718,1.7626,0.0595,20.0654,0.0843,1.8312,0,0,1.4099,2.1637,46.3287,7.1,"16.1",0.00134867607027963,8.66122246968572e-05,0.000791883197228409,0.000470180648354368,8082000,"%"
"Trinidad and Tobago",2.4881,0.2804,12.7835,0,13.0903,0.4044,2.3299,4.9733,6.7063,2.8789,0.2413,0.1837,1.2016,0.8939,0.2305,3.5148,0.0899,5.62,0,0.0928,1.2563,3.5256,37.2145,19.7,"5.5",0.00851688693098385,0.000587371512481645,0.0052129221732746,0.00271659324522761,1362000,"%"
"Tunisia",0.7037,0.2083,9.6312,0,12.0523,0.4508,0.7615,5.4307,1.6411,6.4775,0.0116,0.0926,0.2031,0.4311,0.1065,1.7724,0.1979,2.0832,0,0.3489,1.2551,15.7731,40.3673,27.3,"4.3",0.00840120017145306,0.000342906129447064,0.00252036005143592,0.00553793399057008,11665000,"%"
"Turkey",0.6474,0.1459,12.3156,0,9.708,0.3956,0.2582,6.8321,2.0694,9.3619,0.0101,0.0857,0.272,0.682,0.1251,2.4947,0.2002,1.7004,0,0.4664,1.0174,13.5284,37.6836,32.2,"<2.5",0.142347500817122,0.00372970813611437,0.0533126732601353,0.0853051194208723,82607000,"%"
"Turkmenistan",0.5038,0.3373,16.0611,0,14.8029,0.5139,0.2137,4.1441,4.3767,10.5606,0.253,0.0589,0.0661,0.1032,0.0015,2.3,0.0945,0.6746,0,0.0283,0.5655,10.4014,33.9389,17.5,"5.4",NA,NA,NA,NA,5942000,"%"
"Uganda",6.1671,0.0352,5.6473,0,6.748,0.0815,1.0442,11.3112,0.8978,3.4755,0.0371,0.113,0.6338,2.3942,0.012,12.361,0.013,1.2601,0,0,0.744,2.6703,44.3536,4.1,"41",0.000182968149988706,0,0.000117461034560651,6.55071154280551e-05,44270000,"%"
"Ukraine",2.625,0.1753,13.1214,6e-04,9.3613,0.8434,0.6821,2.9418,2.7425,8.5442,0.007,0.1339,0.0175,0.1099,0.0111,7.6721,0.0883,3.8811,0,0.0807,0.647,9.4361,36.8777,26.1,"3.5",0.0234698004139211,0.000594714180364917,0.00262387896377001,0.0202512072697861,42037000,"%"
"United Arab Emirates",0,0.1896,10.5491,0,12.906,0.5958,1.9682,8.1938,4.94,2.6468,0.9471,0.2095,0.6133,2.1108,0.3194,0.8937,0.1649,3.6576,0,0.5838,0.7949,8.2695,39.4461,29.9,"2.6",0.124441894429376,0.00102232422282495,0.0242958481118298,0.0991237220947215,9586000,"%"
"United Kingdom",5.2632,0.2754,18.8798,6e-04,6.5412,0.621,1.0911,4.9551,4.4181,12.3684,0.6658,0.1056,0.224,0.2035,0.0653,5.1133,0.2461,2.4383,0,0.0901,0.7372,4.5851,31.1116,29.5,"<2.5",0.249040144838628,0.03915131746293,0.00128230065985367,0.208606526715844,66833000,"%"
"United Republic of Tanzania",4.5185,0.0403,4.8022,0,10.4453,0.03,0.5828,6.8147,0.7902,3.3606,0.0214,0,1.2839,2.1761,0.0274,13.937,0.03,1.0345,0,0.042,0.9136,3.952,45.1973,7.1,"30.7",0.00082751486940781,2.75838289802603e-05,0.000287906214981467,0.000512024825446082,58005000,"%"
"United States of America",4.8647,0.1681,21.2352,0.002,5.5048,0.786,1.1287,4.5432,6.2645,12.8657,0,0.0197,0.3246,0.1893,0.049,2.839,0.2458,3.32,0,0.1772,0.9889,5.7249,28.7587,37.3,"<2.5",0.315934838813561,0.0185223892840108,0.0366759531281805,0.26073649640137,329153000,"%"
"Uruguay",3.5664,0.21,17.8865,0,10.251,0.7764,0.6058,5.3746,3.7863,12.3906,0.3918,0.1168,0.277,0.1936,0.0144,3.044,0.6169,3.4102,0,0.0131,1.0337,3.9333,32.1076,28.9,"<2.5",0.0179028132992327,0.000426257459505541,0.0117078715544189,0.00576868428530833,3519000,"%"
"Uzbekistan",0.6835,0.1353,14.4463,0,10.5365,0.3566,0.1218,5.215,1.8621,11.7952,0.04,0.1748,0.0287,0.0022,0.0038,2.8891,0.0644,0.5796,0,0.0649,0.6109,14.8354,35.554,15.3,"6.3",0.00598129724238893,2.68889486421081e-05,0.00327447641241672,0.00267993188133011,33471000,"%"
